TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
ATLANTA DREAM,2,1,1,0.500,2,8,1,2,50.0,0,1,0.0,6,12,50.0,2,1,3,0,0,0,0,0,1,6,4
CHICAGO SKY,7,4,3,0.571,9,18,6,15,40.0,0,5,0.0,6,7,85.7,2,7,9,2,1,0,0,0,5,6,0
CONNECTICUT SUN,7,5,2,0.714,7,20,6,13,46.2,3,4,75.0,5,10,50.0,3,2,5,6,3,2,0,2,3,7,7
DALLAS WINGS,5,1,4,0.200,9,10,3,18,16.7,1,8,12.5,3,4,75.0,6,7,13,1,5,0,1,2,14,3,-15
INDIANA FEVER,7,3,4,0.429,11,21,4,13,30.8,1,5,20.0,12,16,75.0,3,6,9,3,5,3,1,1,13,10,-3
LAS VEGAS ACES,4,2,2,0.500,7,18,4,14,28.6,1,3,33.3,9,11,81.8,1,7,8,3,0,1,2,0,4,6,5
LOS ANGELES SPARKS,5,3,2,0.600,8,21,6,13,46.2,2,4,50.0,7,7,100,2,5,7,3,3,1,0,0,8,7,-5
MINNESOTA LYNX,8,3,5,0.375,11,18,3,14,21.4,1,9,11.1,11,16,68.8,4,6,10,2,6,6,3,0,8,11,-1
NEW YORK LIBERTY,6,3,3,0.500,10,22,6,21,28.6,1,6,16.7,9,12,75.0,6,10,16,2,2,2,1,0,6,6,11
PHOENIX MERCURY,3,1,2,0.333,4,8,3,7,42.9,1,4,25.0,1,2,50.0,1,3,4,1,1,0,0,1,1,1,1
SEATTLE STORM,7,5,2,0.714,13,27,7,22,31.8,0,8,0.0,13,17,76.5,4,13,17,4,3,1,0,2,6,11,0
WASHINGTON MYSTICS,3,1,2,0.333,4,6,3,7,42.9,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,5,0,-4
